zone,tract,area
0,G37006300015,4.211332640603825e-6
0,G37006300005,6.169554246834814e-7
1,G37006300005,5.141048189929379e-5
1,G37006300006,7.317936927787089e-7
2,G3700630000302,1.164407705246038e-6
2,G37006300015,8.757815099444616e-11
2,G3700630000301,3.94496952273896e-5
2,G37006300005,4.2416636810474036e-7
2,G3700630000401,1.272862055815696e-5
2,G3700630000402,9.791053348299262e-5
3,G3700630000401,3.295305402153399e-5
4,G3700630000302,6.348754622481531e-5
4,G3700630000802,1.0178428829917038e-6
4,G37006300015,8.176210395544334e-7
4,G3700630000301,8.511845263124167e-6
5,G37006300002,2.4428279045160883e-5
6,G37006300007,9.257725285747758e-5
6,G37006300006,2.257457022395506e-7
7,G3700630000401,3.2821282622042085e-5
8,G3700630000401,7.743431544430358e-6
8,G3700630000402,5.588038960591136e-6
9,G3700630000302,6.081397399039551e-7
9,G3700630000802,4.1298310416127774e-7
9,G37006300002,2.772243682860039e-5
10,G3700630000801,3.6964509664543835e-6
10,G37006300011,6.364793716493202e-6
11,G3700630001001,2.946912709603593e-6
12,G37006300006,1.0594069660586909e-5
13,G37006300007,4.013195133504667e-5
13,G37006300005,1.1605443135161042e-6
14,G37006300006,2.026268441931454e-5
16,G3700630000802,5.940795035420032e-5
16,G3700630000801,2.2963708130339606e-6
16,G37006300002,9.019502258915073e-6
16,G37006300011,2.115069673889199e-5
16,G37006300009,3.7394520052030195e-5
16,G3700630001002,4.365742938799723e-5
16,G3700630001001,7.901818698988341e-5
17,G3700630000302,3.0695609537944265e-5
17,G37006300002,8.618930313441956e-8
17,G3700630000301,6.41039540676074e-5
17,G3700630000401,2.9485532284255226e-5
17,G3700630001702,1.1266090577003265e-7
17,G37006300001,1.4966701617002403e-4
18,G37006300015,2.048792941975585e-6
18,G37006300007,2.8898524289632556e-5
18,G37006300005,8.140187505827812e-5
18,G37006300006,6.430130422555266e-6
19,G37006300007,1.7239347811436e-5
19,G37006300005,1.707098624307793e-5
19,G37006300006,1.210379272661252e-4
20,G3700630001201,4.952703002891161e-8
20,G37006300007,3.490202459176871e-5
21,G3700630001201,6.224210312676227e-7
21,G3700630001202,4.9731554067780475e-6
21,G3700630001301,2.4544361424675077e-5
21,G3700630001302,2.7927192652041325e-5
22,G3700630000301,2.4071714805358144e-5
23,G37006300009,6.353049735847772e-5
23,G3700630001002,1.4031411856417441e-5
24,G37006300011,8.938291943177734e-5
24,G3700630001001,5.0720093508278054e-5
25,G37006300015,1.5888214804736506e-5
25,G37006300005,3.27811836971937e-6
25,G3700630000402,2.6522462105232793e-5
26,G3700630001201,6.038488172456877e-5
26,G3700630001202,5.173384980294518e-5
26,G3700630001301,4.694430431960862e-5
26,G37006300011,1.030028390017124e-7
26,G37006300007,5.183390675212754e-7
26,G37006300014,7.406139299096556e-5
26,G3700630001302,2.6969984656032395e-5
27,G3700630000401,1.67210932394009e-5
27,G3700630000402,6.828728167680935e-6
28,G37006300002,9.69545304660351e-5
28,G3700630001802,8.229225544050403e-6
28,G3700630001301,3.4314231183593396e-7
28,G37006300009,2.5813923806788514e-6
28,G37006300007,1.2191836222916357e-5
28,G37006300014,1.1224373296849637e-4
28,G3700630001302,4.5988361460807826e-5
28,G3700630001002,1.231894083178346e-4
28,G37006300001,7.641595893456651e-5
28,G3700630001001,7.567430502932643e-5
28,G3700630002003,1.1268162843246003e-6
28,G3700630002004,3.4974216100240536e-9
29,G3700630001001,8.701177033946334e-6
30,G37006300015,2.2837040666290744e-5
30,G37006300005,4.565570002130842e-5
30,G37006300006,7.106019066653446e-6
31,G3700630000302,3.04555466075365e-6
31,G3700630000802,4.56725875186963e-5
31,G3700630000801,3.8648393521789455e-5
31,G3700630001201,1.167952086716344e-5
31,G3700630001202,3.553973037940253e-6
31,G37006300002,1.3083495694529703e-6
31,G37006300015,3.7161036305316963e-6
31,G37006300011,1.9234714501402528e-5
31,G37006300007,1.1016134534507406e-5
31,G37006300014,3.6715827100618375e-7
31,G37006300005,1.490204035478363e-5
31,G3700630000401,1.093315467824101e-7
31,G3700630000402,2.1407264639019727e-5
31,G3700630001001,1.4406341521463553e-6
15,G3700630000302,7.288194910780105e-5
15,G3700630000802,3.980545366228469e-6
15,G37006300002,1.2189402874644007e-4
15,G37006300009,1.6588985955093686e-6
15,G3700630000301,1.1767295440305789e-6
15,G37006300001,5.374111418795313e-5
